Disease ID,max_jaccard_similarity,milieu_recall_at_25,mf_recall_at_25
DB06589,0.3333333333333333,0.5,0.4
DB04522,0.13043478260869565,0.0,0.1
DB03796,0.06896551724137931,0.0,0.0
DB06216,0.6956521739130435,0.5,0.8
DB00246,0.6,0.5833333333333333,1.0
DB00726,0.6551724137931034,0.5166666666666666,0.75
DB00078,0.6875,0.95,0.75
DB00396,0.18181818181818182,0.5,0.1
DB05492,0.6923076923076923,0.45,0.85
DB00661,0.55,0.2,0.8
DB00546,0.6111111111111112,0.65,0.7
DB00313,0.55,0.2,0.45
DB05147,0.625,0.8,0.25
DB01873,0.625,0.85,0.5
DB04216,0.16129032258064516,0.08333333333333333,0.06666666666666668
DB11148,0.68,0.2,0.5
DB01065,0.13333333333333333,0.2,0.0
DB00119,0.08,0.0,0.0
DB08846,0.2727272727272727,0.35,0.3
DB00599,0.5,0.5,0.5
DB00334,0.5405405405405406,0.5666666666666667,0.7166666666666666
DB00277,0.15,0.25,0.0
DB04464,0.43333333333333335,0.55,0.2
DB02010,0.13043478260869565,0.3,0.1
DB00075,0.6875,0.7,0.4
DB00139,0.2,0.45,0.05
DB04855,0.7058823529411765,0.55,0.8
DB00184,0.5,0.6,0.3
DB01174,0.7058823529411765,0.65,0.85
DB02379,0.14814814814814814,0.1,0.05
DB00568,0.4,0.25,0.75
DB08231,0.17857142857142858,0.0,0.05
DB00696,0.6363636363636364,0.55,1.0
DB00852,0.22580645161290322,0.35,0.0
DB04799,0.5625,1.0,0.6
DB11823,0.5384615384615384,0.7,0.6
DB01373,0.14285714285714285,0.0,0.0
DB03461,0.09615384615384616,0.2,0.08333333333333333
DB01069,0.5625,0.5,0.85
DB00193,0.36,0.3,0.7
DB01109,0.15789473684210525,0.55,0.1
DB00786,0.01694915254237288,0.75,0.0
DB09286,0.5,0.7,1.0
DB00996,0.4375,0.65,0.7
DB01942,0.05,0.0,0.1
DB00555,0.5306122448979592,0.4666666666666666,0.7583333333333333
DB00783,0.23529411764705882,0.0,0.2222222222222222
DB01142,0.5714285714285714,0.35,0.75
DB12141,0.56,0.2,0.3
DB00454,0.42105263157894735,0.65,0.9
DB06151,0.3333333333333333,0.7,0.4
DB06637,0.05405405405405406,0.8,0.0
DB00116,0.05555555555555555,0.65,0.1
DB00734,0.6666666666666666,0.45,1.0
DB00368,0.5,0.55,0.8
DB00308,0.19230769230769232,0.0,0.125
DB03814,0.07407407407407407,0.1,0.0
DB01645,0.23529411764705882,0.1,0.1
DB00243,0.7058823529411765,0.5,1.0
DB04137,0.15384615384615385,0.3,0.0
DB04447,0.04,0.0,0.0
DB01239,0.625,0.55,0.8
DB00182,0.631578947368421,0.05,0.8
DB00421,0.5862068965517241,0.0,0.4166666666666666
DB09079,0.47058823529411764,0.8,0.8
DB00025,0.16666666666666666,0.9,0.0
DB00945,0.10344827586206896,0.1,0.05
DB02494,0.01098901098901099,0.5,0.0
DB04315,0.15384615384615385,0.1,0.06666666666666668
DB00721,0.4,0.15,0.15
DB00477,0.5806451612903226,0.26666666666666666,0.75
DB03496,0.08695652173913043,0.8,0.1
DB00988,0.32142857142857145,0.3,0.65
DB01159,0.5483870967741935,0.36666666666666653,0.6333333333333333
DB01592,0.043478260869565216,0.25,0.0
DB00171,0.10204081632653061,0.0,0.05
DB00145,0.12121212121212122,0.18333333333333326,0.03333333333333333
DB01388,0.6153846153846154,0.4,1.0
DB10770,0.5333333333333333,0.0,0.45
DB00144,0.05555555555555555,0.2,0.0
DB00163,0.13636363636363635,0.2222222222222222,0.0
DB01050,0.23529411764705882,0.2,0.2
DB00170,0.13636363636363635,0.6,0.0
DB00126,0.2,0.08333333333333333,0.1
DB12965,0.038461538461538464,0.15,0.0
DB00674,0.5,0.7,0.3
DB00160,0.14545454545454545,0.0,0.0
DB11638,0.08955223880597014,0.10357142857142856,0.0
DB06148,0.5806451612903226,0.21666666666666665,0.85
DB08818,0.03225806451612903,0.2,0.0
DB09061,0.13953488372093023,0.21666666666666665,0.08333333333333333
DB00381,0.68,0.25,0.9
DB04946,0.625,0.3,1.0
DB00675,0.19047619047619047,0.6,0.15
DB01169,0.06666666666666667,0.4,0.0
DB00162,0.0967741935483871,0.5,0.05
DB00543,0.5306122448979592,0.46,0.93
DB01708,0.6176470588235294,0.4166666666666666,0.7333333333333333
DB00289,0.6153846153846154,0.7,0.7
DB00132,0.4,0.7,0.2
DB00013,0.23529411764705882,0.7,0.0
DB00795,0.17647058823529413,0.3,0.2
DB04141,0.5625,0.75,0.1
DB00031,0.47368421052631576,0.35,0.7
DB00393,0.6153846153846154,0.4,0.8
DB01023,0.35294117647058826,0.15,0.6
DB08896,0.47368421052631576,0.3,0.65
DB00418,0.7058823529411765,0.8,1.0
DB00898,0.3,0.4300000000000001,0.13
DB01752,0.043478260869565216,0.2,0.0
DB00142,0.15714285714285714,0.11666666666666667,0.042857142857142864
DB01812,0.06666666666666667,0.7,0.0
DB00151,0.08620689655172414,0.1,0.0
DB12010,0.056666666666666664,0.0535632183908046,0.05
DB02325,0.08,0.0,0.0
DB03127,0.1111111111111111,0.1,0.0
DB00934,0.64,0.45,1.0
DB08515,0.01818181818181818,1.0,0.0
DB01244,0.35294117647058826,0.2,0.3
DB00540,0.6551724137931034,0.4666666666666666,0.8666666666666666
DB03088,0.14814814814814814,0.25,0.0
DB03247,0.08571428571428572,0.0,0.0
DB01149,0.42857142857142855,0.0,0.9
DB00228,0.6363636363636364,0.5,0.75
DB06153,0.5714285714285714,0.5,0.9
DB00157,0.09615384615384616,0.3742857142857142,0.028571428571428567
DB03147,0.08571428571428572,0.18333333333333326,0.0
DB05015,0.07142857142857142,0.75,0.0
DB00143,0.0392156862745098,0.15,0.025
DB09089,0.4583333333333333,0.03333333333333333,0.6
DB09462,0.045454545454545456,0.0,0.05
DB03017,0.17857142857142858,0.0,0.1
DB00159,0.4,0.2,0.4
DB11300,0.1,0.8,0.0
DB12147,0.47058823529411764,0.7,0.6
DB13146,0.42105263157894735,0.7,0.7
DB11994,0.05555555555555555,0.3,0.0
DB01254,0.1935483870967742,0.4666666666666666,0.18333333333333326
DB09195,0.6923076923076923,0.4,0.9
DB02659,0.43333333333333335,0.65,0.2
DB00131,0.10204081632653061,0.0,0.1
DB00114,0.14545454545454545,0.04,0.04
DB00055,0.13636363636363635,1.0,0.05
DB01363,0.631578947368421,0.2,0.75
DB06245,0.47368421052631576,0.4,0.25
DB11093,0.08333333333333333,0.1,0.03333333333333333
DB01392,0.5238095238095238,0.55,0.45
DB00458,0.5714285714285714,0.31666666666666665,0.7
DB04395,0.08333333333333333,0.0,0.1
DB05541,0.55,0.35,0.9
DB00172,0.13513513513513514,0.2,0.0
DB13961,0.4444444444444444,0.5,0.35
DB00273,0.6086956521739131,0.45,0.6
DB00431,0.20833333333333334,0.0,0.1
DB00514,0.2916666666666667,0.5833333333333333,0.15
DB00321,0.53125,0.29999999999999993,0.4999999999999999
DB00622,0.38095238095238093,0.25,0.6
DB06738,0.6153846153846154,1.0,0.8
DB00420,0.631578947368421,0.5,1.0
DB00755,0.0967741935483871,0.45,0.0
DB09118,0.6666666666666666,0.7,0.9
DB08901,0.47058823529411764,0.65,0.8
DB09229,0.5882352941176471,0.5,0.9
DB09130,0.23809523809523808,0.07809523809523808,0.03571428571428571
DB00714,0.6666666666666666,0.7,0.9
DB02709,0.14285714285714285,0.1,0.06666666666666668
DB01110,0.4,0.05,0.3
DB00583,0.05555555555555555,0.2,0.0
DB13025,0.56,0.26666666666666666,0.8833333333333332
DB10772,0.5333333333333333,0.0,0.25
DB04272,0.06666666666666667,0.0,0.0
DB00071,0.043478260869565216,0.95,0.0
DB06616,0.19047619047619047,0.4,0.3
DB00028,0.375,0.8,0.4
DB00129,0.045454545454545456,0.6,0.0
DB01043,0.6176470588235294,0.5666666666666667,0.8833333333333332
DB00155,0.09090909090909091,0.15,0.0
DB00907,0.3157894736842105,0.1111111111111111,0.3333333333333333
DB01956,0.6666666666666666,0.6,0.75
DB00825,0.6153846153846154,0.4,0.7
DB00128,0.04819277108433735,0.2,0.0
DB00398,0.47368421052631576,0.4,0.7
DB01221,0.3611111111111111,0.4166666666666666,0.6166666666666666
DB00909,0.3,0.0,0.1
DB12695,0.14,0.2,0.1
DB01593,0.23809523809523808,0.1340909090909091,0.016666666666666666
DB00248,0.6956521739130435,0.6,0.95
DB01136,0.38095238095238093,0.05,0.3
DB00201,0.65625,0.6499999999999999,0.26666666666666666
DB09283,0.65625,1.0,0.4333333333333333
